Category,Model Classification,Model Name,Publication_Date,Tool Usage,Url,Architecture,Transformer_Type,Description,Evaluation,citation
"DNA/RNA,scRNA-seq",Multimodal,Borzoi,2025-01,An upgrade to the famous Enformer model. Borzoi takes a DNA sequence and predicts gene expression tracks across thousands of cell types.,https://www.nature.com/articles/s41588-024-02053-6,Convolutional tower + self-attention blocks + U-net upsampling,Encoder-only,A sequence-based model that predicts cell-type-specific RNA-seq coverage from DNA to interpret variant effects across multiple regulatory layers,"Variant effect prediction (eQTLs, sQTLs, paQTLs) and distal enhancer-gene interaction mapping",190
scRNA-seq,Unimodal,scGPT,2024-08,GPT architecture on 33M+ cells for cell annotation integration and perturbation prediction,https://pubmed.ncbi.nlm.nih.gov/38409223/,"Transformer (GPT-style, Generative Pretrained)",Decoder-only,"scGPT is based on a generative pretrained transformer (GPT) architecture. The core component of scGPT contains stacked transformer blocks with specialized attention masks for generative training. Uses transformer decoders by making sequential predictions with masked attention. (Cui et al., Nature Methods 2024)",Cell type annotation; Gene perturbation; Batch integration; Multi-omics integration; 33M cell benchmark,846
H&E,Unimodal,MerMED-FM,2025-06,"This is a ""Generalist"" medical foundation model trained on 3.3 million images across 7 modalities, including both Pathology patches (H&E) and TBP.",https://arxiv.org/abs/2507.00185,Dual-network teacher-student ViT framework with a dynamic memory module,Encoder-only,"A multimodal, multi-specialty foundation model trained using self-supervised learning (SSL) to unify the interpretation of diverse imaging types through a shared latent space.","Detection of colorectal adenocarcinoma, breast cancer, and various tissue types on histopathology patches.",0
H&E,Unimodal,PanDerm,2025-03,Dermatopathology foundation model pretrained on histopathology tiles for microscopic skin tissue analysis and cancer classification.,https://arxiv.org/html/2410.15038v2,ViT-Large Image Encoder + Masked Latent Regressor,Encoder-only,"PanDerm extends unified dermatology representations to histopathology images, supporting skin cancer diagnosis and pathology-level phenotype analysis across multiple datasets.",Skin cancer pathology classification,37
H&E,Unimodal,Phikon-v2,2024-09,ViT-Large trained on 460M tiles from 55K+ public slides for biomarker prediction (vision-only),https://arxiv.org/abs/2409.09173,ViT (iBOT SSL),Encoder-only,"Phikon-v2 uses Vision Transformer encoder trained with iBOT self-supervised learning on 460M pathology image tiles. Encoder-only ViT design. (Filiot et al., 2024)",Tile-level classification; Linear probe evaluation; TCGA benchmarks,73
H&E,Unimodal,REMEDIS,2023-06,Google's self-supervised framework combining BiT + SimCLR for medical imaging (vision-only),https://doi.org/10.1038/s41551-023-01049-7,ViT (Self-supervised),Encoder-only,"REMEDIS uses Vision Transformer encoder with self-supervised contrastive learning (SimCLR) for medical imaging. Encoder-only ResNet/ViT architecture. (Azizi et al., Nature Biomedical Engineering 2023)",Histopathology classification,243
H&E,Unimodal,Virchow,2024-07,Foundation model on 1.5M WSIs from MSK enabling pan-cancer detection with 0.95 AUC (vision-only),https://doi.org/10.1038/s41591-024-03141-0,ViT-Huge (DINOv2 SSL),Encoder-only,"Virchow employs the Vision Transformer 'huge' architecture (ViT-H/14) with 632 million parameters. Trained using DINOv2 self-supervised learning on 1.5M WSIs. Encoder-only design with self-attention. (Vorontsov et al., Nature Medicine 2024)",Pan-cancer classification; Biomarker prediction; Tile-level benchmarks; 17 tissue types evaluation,370
H&E,Unimodal,CHIEF,2024-10,Weakly supervised foundation model on 60K WSIs across 19 anatomical sites (vision-only),https://pubmed.ncbi.nlm.nih.gov/39232164/,ViT (Self-supervised),Encoder-only,"CHIEF (Clinical Histopathology Imaging Evaluation Foundation) uses Vision Transformer encoder with self-supervised learning for computational pathology. Encoder-only ViT design. (Wang et al., Nature 2024)",Histopathology classification,385
H&E,Unimodal,CTransPath,2022-10,Hybrid CNN-Swin Transformer trained on 15M TCGA/PAIP patches (vision-only),https://pubmed.ncbi.nlm.nih.gov/35952419/,Swin Transformer (SSL),Encoder-only,"CTransPath uses Swin Transformer encoder architecture with hierarchical feature maps. Self-supervised pretraining with semantically-relevant contrastive learning. Encoder-only design. (Wang et al., 2022)",TCGA classification; Multi-organ evaluation; Transfer learning benchmarks,616
H&E,Unimodal,HIPT,2022-06,Hierarchical Vision Transformer leveraging WSI structure on 104M images (vision-only),https://arxiv.org/abs/2206.02647,Hierarchical ViT (Multi-scale),Encoder-only,"HIPT (Hierarchical Image Pyramid Transformer) uses hierarchical Vision Transformer encoder architecture at multiple scales (256→4096→WSI). Encoder-only design with multi-scale self-attention. (Chen et al., CVPR 2022)",Hierarchical WSI analysis; Survival prediction; Subtyping; TCGA benchmarks,624
H&E,Unimodal,Prov-GigaPath,2024-05,Whole-slide foundation model trained on 1.3B image tiles from 171K WSIs (vision-only),https://doi.org/10.1038/s41586-024-07441-w,"ViT (LongNet, Slide-level)",Encoder-only,"Prov-GigaPath uses Vision Transformer encoder with LongNet-style dilated attention for processing gigapixel pathology images. Encoder-only design trained on 1.3B image tiles from 170k WSIs. (Xu et al., Nature 2024)",17 genomic prediction tasks; 9 cancer subtyping tasks; Slide-level classification; LongNet evaluation,653
H&E,Unimodal,UNI,2024-03,Self-supervised vision model on 100M+ images from 100K diagnostic whole-slide images (vision-only),https://doi.org/10.1038/s41591-024-02857-3,ViT-Large (DINOv2 SSL),Encoder-only,"UNI is a general-purpose self-supervised vision encoder based on Vision Transformer (ViT-Large) architecture. Pretrained using DINOv2 self-supervised learning on 100M+ images from 100K+ WSIs. Encoder-only ViT with 307M parameters. (Chen et al., Nature Medicine 2024)",34 clinical tasks in anatomic pathology; ROI classification; Slide-level classification; Segmentation (SegPath); Retrieval,1141
"H&E, DNA/RNA",Multimodal,MORPHEUS,2025-12,Multimodal (pathology + omics) pretraining with masking/reconstruction objectives (paper positions MORPHEUS as a multimodal pathology/omics model).,https://doi.org/10.48550/arXiv.2508.00969,CNN/Transformer,Encoder-only,MORPHEUS uses hybrid CNN/Transformer architecture for morphological analysis in medical imaging. (2024),phenotype association,0
"H&E, DNA/RNA",Multimodal,OmniScreen,2024-07,"It takes routine H&E whole-slide images as input and uses a large pathology foundation model to predict hundreds to thousands of genomic and molecular biomarkers (e.g., gene mutations) in a pan-cancer, high-throughput screening setting.",https://arxiv.org/pdf/2408.09554,Vision foundation encoder (Virchow2) + attention-based slide-level aggregation network,Encoder-only,Transformer encoder for medical screening tasks.,Biomarker screening; genomic alteration classification; pathway phenotype detection,8
"H&E, DNA/RNA",Multimodal,Threads,2025-01,ViT-based ROI encoder + attention-based slide encoder with multimodal contrastive alignment to molecular profiles,https://doi.org/10.48550/arXiv.2501.16652,Dual Encoder (contrastive / similarity-based),Encoder-only,Threads uses Transformer encoder for molecular-driven whole slide representation learning in spatial transcriptomics. (2024),Variant effect prediction,51
"H&E, spatial proteomics",Multimodal,MIPHEI-vit,2025-05,Virtual multiplex immunofluorescence (mIF) prediction from routine H&E whole-slide images to enable cell-level immune and stromal profiling without physical staining,https://arxiv.org/abs/2505.10294,ViT foundation encoder (H-optimus-0 / UNIv2 / CTransPath) embedded in a U-Net style encoder decoder (ViTMatte / UNETR variants) with multi-head output for marker regression,Encoder-Decoder,"MIPHEI-ViT predicts spatially resolved mIF protein expression maps from H&E images using a ViT-based encoder decoder architecture, enabling single-cell marker inference and large-scale immune profiling.",Virtual staining (image translation); protein expression prediction; cell-level classification; cross-domain generalization,0
"H&E, spatial proteomics",Multimodal,ROSIE,2024-06,"ROSIE takes H&E images as input and computationally generates in silico mIF images, predicting the spatial expression of dozens of protein markers to enable immune cell phenotyping and tumor microenvironment analysis without performing physical mIF experiments. The model extracts morphological embeddings from H&E patches (CNN-based vision encoder). These embeddings are mapped through a generative / regression head to output multi-channel mIF marker maps (one channel per protein marker).",https://doi.org/10.1038/s41467-025-62346-0,Transformer,Encoder-Decoder,Transformer encoder for medical imaging.,Histopathology classification; Spatial gene expression prediction,4
"H&E, spatial proteomics",Multimodal,HEX,2026-1,"H&E to protein expression model built on a pathology foundation model. Generates virtual spatial proteomics from histopathology, predicting expression of 40 biomarkers spanning immune, structural, and functional programs with high accuracy across 34 tissue types.",https://doi.org/10.1038/s41591-025-04060-4,Vision encoder (pathology foundation model) + tile-level regression head for protein prediction; downstream multimodal risk model using attention-based MIL over predicted protein maps,Encoder-Decoder,HEX predicts high-plex spatial protein expression maps ( virtual CODEX ) directly from H&E images and leverages the inferred spatial proteomics to stratify patient risk and immunotherapy response.,Protein expression prediction; prognosis prediction; immunotherapy response prediction,4
"H&E, spatial proteomics",Multimodal,GigaTIME,2026-1,Virtual multiplex immunofluorescence (mIF) translation from routine H&E whole-slide images to enable population-scale tumor immune microenvironment (TIME) profiling and downstream biomarker association studies,https://www.cell.com/cell/fulltext/S0092-8674(25)01312-1,Patch-based encoder decoder image-to-image translation network built on Nested U-Net; outputs 21 protein channels per patch and stitches to slide-level maps,Encoder-Decoder,Transformer encoder for time-series medical data.,Image translation (virtual staining); protein activation segmentation; biomarker association; patient stratification,8
"H&E, ST",Multimodal,DomainST,2025-09,"It uses LLM-derived domain knowledge to refine gene features and combine them with visual embeddings from pathology images. It aims to improve gene expression prediction from H&E by integrating gene-level Natural languageual information (e.g., descriptions/embeddings) with image features.",https://doi.org/10.1016/j.inffus.2025.103746,Image encoders + fusion module for domain-robust ST modeling,Encoder-only,DomainST uses Transformer encoder for domain adaptation in spatial transcriptomics across different technologies and tissues. (2024),ST prediction / generalization evaluation across domains (per paper).,0
"H&E, ST",Multimodal,DeepSpot2Cell,2025-10,"The tool leverages pretrained pathology foundation model embeddings and spatial conNatural language to predict virtual single-cell level gene expression from H&E histopathology images using spot-level supervision from spatial transcriptomics data, effectively enabling inferred single-cell transcriptomic profiles from standard histology",https://doi.org/10.1101/2025.09.23.678121,CNN (Spot Detection),Non-Transformer,DeepSpot2Cell uses CNN for spot detection in spatial transcriptomics. Convolutional architecture. (2024),Histopathology classification; Spatial gene expression prediction,1
"H&E, ST",Multimodal,OmiCLIP,2025-05,CLIP model linking H&E with spatial transcriptomics (spatial transcriptomics not mIF),https://doi.org/10.1038/s41592-025-02707-1,ViT + Natural language Encoder (CLIP-style VLM),Dual-Encoder,OmiCLIP uses CLIP-style dual encoder for multiomics-image alignment. Separate encoders for pathology images and multi-omics data with contrastive learning. (2024),Zero-shot classification; Image-Natural language retrieval,58
spatial proteomics,Unimodal,KRONOS,2025-06,Self-supervised foundation model for 175 protein markers across 8 mIF platforms (vision-only no Natural language),https://arxiv.org/abs/2506.03373,Transformer (Cell Dynamics),Encoder-only,KRONOS uses Transformer encoder for learning patch feature from spatial proteomics data. (2024),Multi-task benchmark evaluation,14
"spatial proteomics, H&E",Multimodal,CycleGAN (virtual H&E),2026-01,Unpaired image-to-image translation to convert multi-channel fluorescence microscopy images into virtual H&E stained histopathology images,https://arxiv.org/html/2601.08776v1,GAN (Cycle-consistent Adversarial),Encoder-Decoder,"This CycleGAN-based model translates fluorescence microscopy images into H&E-like images without paired training data, preserving tissue morphology while adopting H&E color and texture characteristics.",Virtual staining; qualitative morphology preservation; visual realism assessment,0
"spatial proteomics, ST",Multimodal,Spatia,2025-07,A multi-scale generative and predictive model for spatial transcriptomics (which uses images like mIF).,https://arxiv.org/abs/2507.04704,ViT image encoder + scPRINT gene backbone + Hierarchical Transformers + Diffusion decoder,Encoder-Decoder,"A multi-scale model that integrates cellular morphology, gene expression, and spatial context for predictive and generative tasks in spatial transcriptomics","Cell classification, spatial clustering, gene expression prediction, biomarker status prediction (breast cancer), and cell image synthesis",2
"spatial proteomics, ST",Multimodal,HEIST,2025-12,A heirarchical graph transformer foundation model for spatial transcriptomics and proteomics.,https://pmc.ncbi.nlm.nih.gov/articles/PMC12486056/,Hierarchical Graph Transformer (intra-cellular and inter-cellular levels),Encoder-Decoder,A hierarchical graph transformer foundation model designed for spatial transcriptomics and proteomics that captures both intra-cellular gene/protein co-expression and inter-cellular spatial interactions.,"Tissue segmentation, cell-type annotation, and gene/protein expression imputation across mouse brain and human cancer datasets.",4
MRI,Unimodal,MRI-CORE,2025-06,Discusses a general-purpose MRI foundation model (also known as UMBIF) used for grading brain tumors across multiple MRI sequences.,https://arxiv.org/abs/2506.12186,Transformer (MRI FM),Encoder-only,MRI-CORE uses Transformer encoder as a foundation model for MRI analysis. Self-supervised pretraining on diverse MRI datasets. (2024),Radiology image classification,9
MRI,Unimodal,PASTA,2024-05,"A ""Pan-Tumor"" oncology model. It overcomes data scarcity by using synthetic data to detect and stage tumors across ten different organ systems.",https://arxiv.org/abs/2405.16942,nnU-Net framework,Encoder-Decoder,"Leverages 30,000 synthetic CT scans (PASTA-Gen) with pixel-level lesion masks and structured reports.",45 oncology tasks; Tumor detection; Survival prediction; Report generation.,12
MRI,Unimodal,Medical SAM3,2025-07,"A universal, text-guided assistant. It performs segmentation via text prompts (e.g., ""segment tumor"") rather than requiring spatial cues like clicks.",https://ieeexplore.ieee.org/document/11105528,Adapted SAM3,Encoder-Decoder,Full-parameter fine-tuning on 33 datasets across 10 modalities to handle medical concepts without spatial prompts.,Zero-shot Dice score; Semantic-driven segmentation; External dataset generalization.,23
MRI,Unimodal,VOCO,2025-12,"Uses ""geometric context"" priors to learn representations. It is used to reduce labeled data dependency for complex tasks like volume registration.",https://ieeexplore.ieee.org/document/11274411,3D SwinUNETR,Hybrid,"Implicitly encodes geometric relations between organs using volume contrastive learning on 160,000 CT volumes.","51 tasks: Segmentation, Classification, Registration, Vision-Language.",26
MRI,Unimodal,BrainSegFounder,2024-10,"While focused on MRI, this ""Founder"" model provides the brain-side data needed to create the OCT-to-MRI link.",https://pubmed.ncbi.nlm.nih.gov/39146701/,ViT/CNN (Brain Segmentation FM),Encoder-only,BrainSegFounder uses ViT/CNN architecture for brain MRI segmentation foundation model. Primarily encoder-based design. (2024),Radiology image classification,54
MRI,Unimodal,LVM-Med,2023-11,"Classification, segmentation, and object detection",https://arxiv.org/abs/2306.11925,ResNet-50 or ViT-B/16 backbones with a second-order graph matching SSL formulation,Encoder-only,A general-purpose medical vision foundation model pre-trained on 1.3 million multi-modal images using graph-based structural constraints.,"Brain tumor classification/segmentation, prostate segmentation, and heart structure segmentation.",84
MRI,Unimodal,ResVit,2022-04,"A vision-transformer-based foundation model used for ""multi-modal"" synthesis (creating PET from MRI or vice versa).",https://pubmed.ncbi.nlm.nih.gov/35436184/,Hybrid ResNet-ViT,Hybrid,ResVit is a hybrid architecture combining ResNet convolutional layers with Vision Transformer attention. (2022),Radiology image classification,492
Natural language,Unimodal,Me-LLaMA,2024-11,70B model trained on 129B tokens from biomedical and clinical sources,https://arxiv.org/abs/2402.12749,Transformer Decoder (LLaMA-based),Decoder-only,"Me-LLaMA uses LLaMA decoder-only architecture with continued pretraining on large-scale medical corpora and instruction tuning. (Xie et al., 2024)",Perplexity evaluation; Generation quality assessment,3
Natural language,Unimodal,MediPhi-Instruct,2025-05,Microsoft's modular clinical SLM collection (3.8B params); 5 domain experts merged with SLERP; MIT licensed for deployment,https://arxiv.org/abs/2505.10717,Transformer Decoder (Phi-based),Decoder-only,MediPhi-Instruct is based on Microsoft Phi decoder-only architecture with medical instruction tuning. Small but capable medical LLM. (2024),Perplexity evaluation; Generation quality assessment,13
Natural language,Unimodal,Hippo (Hippocrates),2024-04,"Hippocrates is an open-source framework for developing medical large language models, introducing the Hippo family of 7B models tailored for medical reasoning and question answering.",https://arxiv.org/abs/2404.16621,"Mistral 7B and LLaMA2 7B backbones adapted to the medical domain via continual pre-training, instruction tuning, and Reinforcement Learning from AI Feedback (RLAIF).",Decoder-only,"The Hippocrates framework democratizes medical AI by providing unrestricted access to its training datasets, codebase, model checkpoints, and evaluation protocols. The associated Hippo models leverage preference learning mapped to clinical standards to enhance medical domain proficiency.","Evaluated on six major medical question-answering benchmarks including MedQA, MedMCQA, PubMedQA, and USMLE Steps 1-3 using the EleutherAI LM Evaluation Harness. Performance was assessed via zero-shot and 5-shot accuracy, alongside uncertainty quantification to measure model confidence.",16
Natural language,Unimodal,Clinical Camel,2023-05,"Answering medical questions, generating clinical notes, and providing clinical decision support.",https://arxiv.org/abs/2305.12031,Transformer Decoder (LLaMA-based),Decoder-only,"Clinical Camel is based on LLaMA decoder-only architecture, fine-tuned for clinical dialogue using instruction tuning. Autoregressive Transformer decoder. (Toma et al., 2023)",Perplexity evaluation; Generation quality assessment,66
Natural language,Unimodal,Med42,2024-04,"Med42 is a medical large language model fine-tuned to enhance medical knowledge retrieval, clinical reasoning, and question-answering capabilities. It evaluates and compares the effectiveness of full-parameter fine-tuning versus parameter-efficient tuning (LoRA) for adapting general LLMs to the medical domain.",https://arxiv.org/abs/2404.14779,"Built upon the Llama-2 backbone (7B and 70B parameter versions). The pretraining strategy relies on Llama-2's robust general-domain pretraining. The modal-specific design involves instruction fine-tuning on a curated compilation of open medical datasets, employing both full-parameter updates and Low-Rank Adaptation (LoRA) applied to linear layers for comparative analysis.",Decoder-only,"The paper presents a comprehensive comparative analysis of fine-tuning methodologies for medical LLMs. The resulting flagship model, Med42 (70B), achieves a zero-shot accuracy of 72% on USMLE datasets, establishing that full-parameter fine-tuning generally outperforms parameter-efficient methods in complex medical reasoning contexts.","Evaluated using zero-shot accuracy on multiple medical benchmark datasets, including MedQA, HeadQA, MedMCQA, PubMedQA, MMLU clinical topics, and the US Medical Licensing Examination (USMLE). Also includes an evaluation of computational efficiency and scaling by comparing 7B and 70B parameter models under full-parameter versus LoRA fine-tuning constraints.",69
Natural language,Unimodal,Med42-v2,2024-08,Suite of clinical LLMs (8B/70B) built on Llama3 achieving 94.5% on medical benchmarks; tops Clinical Elo Rating Leaderboard,https://arxiv.org/abs/2408.06142,Transformer Decoder (LLM),Decoder-only,"Med42-v2 is a decoder-only LLM based on LLaMA architecture for medical question answering. Fine-tuned with medical instructions. (M42 Health, 2024)",Perplexity evaluation; Generation quality assessment,73
 Clinical Notes/EHR,Unimodal,Foresight,2024-04,"Foresight is a general-purpose model for biomedical concept modelling that can be used for real-world risk forecasting, virtual trials, and clinical research to study the progression of disorders, to simulate interventions and counterfactuals, and for educational purposes.",https://www.sciencedirect.com/science/article/pii/S2589750024000256?via%3Dihub,Transformer (Predictive),Encoder-only,Foresight uses Transformer encoder for predictive EHR modeling and clinical forecasting. (2024),Task-specific fine-tuning,82
Natural language,Unimodal,BioMedLM,2024-03,BioMedLM is a 2.7 billion parameter language model that produces strong multiple-choice biomedical question-answering results and provides useful answers to patient questions on medical topics.,https://arxiv.org/abs/2403.18421,GPT-style (GPT-2 based) autoregressive model with 2.7 billion parameters. Pretrained exclusively on PubMed abstracts and full articles using a domain-specific biomedical Byte-Pair Encoding (BPE) tokenizer.,Decoder-only,"BioMedLM is a domain-specific large language model trained exclusively on biomedical text to serve as a transparent, privacy-preserving, and computationally economical foundation for biomedical NLP applications.","Tasks: Biomedical question-answering. Benchmarks: MedMCQA, MMLU Medical Genetics exam, BioASQ, PubMedQA, MedQA.",117
Natural language,Unimodal,MedGemma-27B,2025-07,Google's Natural language-only medical LLM for clinical reasoning and EHR understanding; achieves SOTA on MedQA,https://arxiv.org/abs/2507.05201,Transformer (Gemma-based LLM),Decoder-only,"MedGemma-27B is based on Gemma 27B decoder-only architecture with medical fine-tuning. Large-scale autoregressive Transformer. (Google, 2024)",Perplexity evaluation; Generation quality assessment,165
Natural language,Unimodal,Meditron-70B,2023-11,EPFL's 70B parameter model adapted from Llama-2 on 48.1B medical tokens from guidelines and PubMed,https://arxiv.org/abs/2311.16079,Transformer Decoder (LLaMA-based),Decoder-only,"Meditron-70B is based on LLaMA-2 70B, a decoder-only Transformer architecture. Fine-tuned on curated medical corpora using causal language modeling. (Chen et al., 2023)",USMLE; MedMCQA; PubMedQA; Medical reasoning benchmarks,328
Natural language,Unimodal,PMC-LLaMA,2024-04,Open-source LLM fine-tuned on 4.8 million biomedical papers for medical domain reasoning,https://doi.org/10.1093/jamia/ocae045,Transformer Decoder (LLaMA-based),Decoder-only,"PMC-LLaMA is LLaMA fine-tuned on 4.8M PubMed Central biomedical papers. Uses LLaMA decoder-only Transformer architecture with continued pretraining. (Wu et al., 2023)",Medical QA; PubMedQA; MedQA; BioASQ; Medical instruction following,355
Natural language,Unimodal,BioMistral,2024-07,Mistral-based model with first multilingual medical evaluation across 7 languages,https://arxiv.org/abs/2402.10373,Transformer Decoder (Mistral-based),Decoder-only,"BioMistral is based on Mistral-7B decoder-only architecture with sliding window attention. Fine-tuned on PubMed Central for biomedical tasks. (Labrak et al., 2024)",PubMedQA; MedQA; Medical NLI; Clinical summarization,403
Natural language,Unimodal,MedAlpaca,2023-04,Open-source medical conversational AI fine-tuned on 160K medical QA training entries,https://arxiv.org/abs/2304.08247,Transformer Decoder (LLaMA-based),Decoder-only,"MedAlpaca is based on LLaMA decoder-only architecture fine-tuned with medical instruction data using self-instruct methodology. (Han et al., 2023)",Perplexity evaluation; Generation quality assessment,418
 Clinical Notes/EHR,Unimodal,NYUTron,2023-06,"NYUTron s performance on three clinical tasks (in-patient mortality prediction, comorbidity index prediction and readmission prediction) and two operational tasks (insurance claim denial prediction and inpatient LOS prediction)",https://www.nature.com/articles/s41586-023-06160-y,Transformer Encoder (BERT-style),Encoder-only,"NYUTron uses BERT-style encoder architecture trained on clinical notes. Bidirectional Transformer encoder achieving clinical deployment for readmission prediction. (Jiang et al., Nature 2023)",Downstream task fine-tuning,418
Natural language,Unimodal,Med-PaLM 2,2023-05,"Med-PaLM 2 is a large language model designed to retrieve medical knowledge, reason over it, and answer medical questions comparably to physicians.",https://arxiv.org/abs/2305.09617,Dense decoder-only Transformer based on PaLM 2. Pretrained on diverse text corpora and finetuned on medical domains using advanced prompting strategies such as ensemble refinement.,Decoder-only,"Med-PaLM 2 leverages the foundational PaLM 2 model with medical-domain finetuning to achieve state-of-the-art performance in medical question answering, significantly surpassing its predecessor Med-PaLM and reaching expert-level reasoning capabilities.","Evaluated on MedQA (USMLE-style questions), MedMCQA, PubMedQA, and MMLU clinical topics. It also underwent detailed human evaluations on 1,066 consumer medical questions and 240 long-form adversarial questions to assess clinical utility against physician answers.",716
 Clinical Notes/EHR,Unimodal,GatorTron,2022-12,"Extracting information from clinical notes, predicting clinical outcomes, and identifying patient cohorts.",https://www.nature.com/articles/s41746-022-00742-2,Transformer Encoder (Large-scale BERT),Encoder-only,"GatorTron is a large clinical language model using BERT-style encoder architecture with 8.9B parameters. Trained with masked language modeling on clinical text from UF Health. Encoder-only Transformer. (Yang et al., npj Digital Medicine 2022)",Clinical NER; Clinical inference; Medical QA; STS; 5 clinical NLP tasks,745
 Clinical Notes/EHR,Unimodal,ClinicalBERT,2019-04,This work develops and evaluates representations of clinical notes using bidirectional transformers,https://arxiv.org/abs/1904.05342,Transformer Encoder (BERT-style),Encoder-only,"ClinicalBERT is a BERT model pre-trained on clinical notes from MIMIC-III. Uses same encoder-only Transformer architecture as BERT with masked language modeling on clinical text. (Alsentzer et al., Clinical NLP Workshop 2019)",Clinical NER; Readmission prediction; ICD coding; MIMIC-III benchmarks,1175
Natural language,Unimodal,BioGPT,2022-09,Generative transformer for biomedical Natural language mining achieving 78% accuracy on PubMedQA,https://pubmed.ncbi.nlm.nih.gov/36156661/,Transformer Decoder (GPT-style),Decoder-only,"BioGPT is a domain-specific generative pre-trained Transformer language model for biomedical text generation using GPT-2 decoder architecture. Autoregressive, unidirectional, decoder-only. (Luo et al., Briefings in Bioinformatics 2022)",PubMed QA; Relation extraction; Document classification; End-to-end generation,1234
Natural language,Unimodal,PubMedBERT,2020-07,PubMedBERT is a domain-specific language model designed for biomedical natural language processing. It challenges the prevailing mixed-domain paradigm by demonstrating that pretraining large language models from scratch entirely on biomedical text yields superior performance on downstream tasks.,https://arxiv.org/abs/2007.15779,"Backbone is BERT-Base (12 transformer layers, 110M parameters). Pretraining strategy involves Masked Language Modeling with 15% whole-word masking (WWM) and Next Sentence Prediction, trained from scratch on 14 million PubMed abstracts. Modality-specific design includes a custom domain-specific vocabulary built with the WordPiece algorithm generated strictly from the biomedical training corpus rather than reusing a general-domain vocabulary.",Encoder-only,"The paper introduces PubMedBERT and the Biomedical Language Understanding & Reasoning Benchmark (BLURB), a comprehensive benchmark for PubMed-based NLP applications. It establishes that for domains with abundant unlabeled text, pretraining from scratch provides a stronger foundation than continual pretraining of general-domain language models.","Evaluated on the BLURB benchmark, which includes 13 publicly available datasets across 6 biomedical NLP tasks: Named Entity Recognition (NER), Evidence-Based Medical Information Extraction (PICO), Relation Extraction (RE), Sentence Similarity, Document Classification, and Question Answering (QA). Also includes ablation studies on pretraining strategies (e.g., using whole-word masking vs. subword masking) and fine-tuning methods.",2278
Natural language,Unimodal,MultiMedQA,2023-07,"MultiMedQA is a large language model adapted to the medical domain to answer professional, research, and consumer medical questions.",https://www.nature.com/articles/s41586-023-06291-2,"540-billion parameter Pathways Language Model (PaLM) backbone, initially instruction-tuned (Flan-PaLM), and further aligned to the medical domain using a parameter-efficient approach called instruction prompt tuning.",Decoder-only,"The study introduces MultiMedQA, a comprehensive benchmark for medical question answering, and evaluates the model using both automated metrics and a detailed human evaluation framework.","Evaluated on the MultiMedQA benchmark (which includes MedQA/USMLE, MedMCQA, PubMedQA, MMLU clinical topics, and HealthSearchQA). Metrics include multiple-choice accuracy and human evaluation scoring along axes of factuality, comprehension, reasoning, possible harm, and bias.",3707
Natural language,Unimodal,BioBERT,2020-02,Domain-specific BERT pretrained on PubMed abstracts and PMC full-Natural language articles,https://pubmed.ncbi.nlm.nih.gov/31501885/,Transformer Encoder (BERT-style),Encoder-only,"BioBERT has the same structure as BERT (Bidirectional Encoder Representations from Transformers). Initialized with BERT weights and pre-trained on biomedical corpora (PubMed abstracts + PMC full-text). Uses 12 Transformer encoder layers with masked language modeling. (Lee et al., Bioinformatics 2020)",NER; Relation extraction; QA (BioASQ); PubMed benchmarks; BLURB evaluation,6925
"Natural language, CFP",Multimodal,EyeCLIP,2025-06,"This study introduces EyeCLIP, a multimodal vision language foundation model pretrained on multi-modal ophthalmic images and partial clinical Natural language using self-supervised reconstruction and contrastive learning, enabling generalizable, few-shot/zero-shot disease detection and cross-modal reasoning.",https://www.nature.com/articles/s41746-025-01772-2,ViT + Natural language Encoder (CLIP-style VLM),Dual-Encoder,EyeCLIP is a multimodal vision-language foundation model using CLIP-style dual encoder architecture. Self-supervised reconstruction and contrastive learning for ophthalmic images and clinical text. (npj Digital Medicine 2025),Zero-shot classification; Image-Natural language retrieval,27
"Natural language, CT",Multimodal,Cardiac-CLIP,2025-07,Cardiac CT multimodal model combining 3D MAE with contrastive vision-language learning,https://arxiv.org/abs/2507.22024,ViT + Natural language Encoder (CLIP-style VLM),Dual-Encoder,Cardiac-CLIP uses CLIP-style dual encoder for cardiac imaging with ViT image encoder and text encoder. Contrastive pretraining on cardiac reports. (2024),Radiology image classification,1
"Natural language, CT",Multimodal,SPECTRE,2025-11,"A scalable, open transformer model for 3D CT. It extract robust volumetric features using dual-attention to manage extreme token scaling.",https://arxiv.org/abs/2511.17209,3D Vision Transformer,Encoder-Decoder,Combines DINO-style distillation with SigLIP vision-language alignment and anisotropic patch embeddings.,Transferable representations; Zero-shot/Fine-tuned benchmarks.,1
"Natural language, CT",Multimodal,CT-CLIP,2025-09,First CT-focused contrastive vision-language model with CT-RATE dataset of 25692 chest CTs,https://arxiv.org/abs/2403.17834,ViT-3D + Natural language Encoder (CLIP-style VLM),Dual-Encoder,"CT-CLIP uses CLIP-style dual encoder with 3D Vision Transformer for CT volumes and text encoder. Contrastive learning for CT-report alignment. (Hamamci et al., 2024)",Radiology image classification,121
